YR,MON,EMI
1870,1,0.087613
1870,2,-0.647609
1870,3,-0.619452
1870,4,-0.56609
1870,5,-0.443315
1870,6,-0.271506
1870,7,-0.181716
1870,8,-0.231589
1870,9,0.309288
1870,10,0.35182
1870,11,0.155925
1870,12,0.0319607
1871,1,-0.131009
1871,2,-0.150898
1871,3,-0.123822
1871,4,-0.0313154
1871,5,-0.191189
1871,6,-0.227972
1871,7,-0.353404
1871,8,-0.0846601
1871,9,0.196998
1871,10,0.158481
1871,11,-0.0673198
1871,12,-0.139701
1872,1,-0.12373
1872,2,-0.0343786
1872,3,0.0493272
1872,4,-0.176038
1872,5,-0.105881
1872,6,-0.214365
1872,7,-0.223482
1872,8,-0.547789
1872,9,-0.606951
1872,10,-0.246653
1872,11,-0.218945
1872,12,-0.340951
1873,1,-0.287663
1873,2,-0.272661
1873,3,-0.188288
1873,4,-0.169687
1873,5,0.0659694
1873,6,-0.258191
1873,7,-0.314428
1873,8,-0.169246
1873,9,0.0559102
1873,10,0.0157008
1873,11,0.0491297
1873,12,0.212884
1874,1,0.0701372
1874,2,0.0167718
1874,3,-0.365692
1874,4,-0.122338
1874,5,-0.277579
1874,6,-0.139975
1874,7,-0.172115
1874,8,-0.134622
1874,9,-0.426608
1874,10,-0.456182
1874,11,-0.51682
1874,12,-0.426673
1875,1,-0.153004
1875,2,0.00562105
1875,3,-0.0710801
1875,4,-0.44445
1875,5,-0.473178
1875,6,-0.332204
1875,7,-0.271266
1875,8,-0.417491
1875,9,-0.430584
1875,10,-0.2064
1875,11,0.0562721
1875,12,0.0105275
1876,1,-0.0254691
1876,2,-0.13584
1876,3,-0.036336
1876,4,-0.124434
1876,5,0.00705099
1876,6,0.280941
1876,7,0.0923478
1876,8,0.148793
1876,9,0.0892063
1876,10,-0.184374
1876,11,-0.213646
1876,12,-0.111448
1877,1,0.0766342
1877,2,0.376681
1877,3,0.288017
1877,4,0.323465
1877,5,0.452104
1877,6,0.760109
1877,7,0.408409
1877,8,0.329398
1877,9,0.0582145
1877,10,0.220591
1877,11,0.184586
1877,12,0.225831
1878,1,0.170926
1878,2,0.256338
1878,3,0.281848
1878,4,0.123482
1878,5,0.196491
1878,6,0.550035
1878,7,-0.0114665
1878,8,-0.142955
1878,9,-0.182505
1878,10,-0.25959
1878,11,-0.1022
1878,12,-0.226853
1879,1,-0.165457
1879,2,-0.132722
1879,3,-0.0192305
1879,4,-0.0488438
1879,5,-0.313438
1879,6,-0.675031
1879,7,-0.752925
1879,8,-0.592448
1879,9,-0.519829
1879,10,-0.549078
1879,11,-0.514591
1879,12,-0.308484
1880,1,-0.111478
1880,2,-0.21411
1880,3,-0.130288
1880,4,-0.115153
1880,5,-0.151386
1880,6,-0.0936965
1880,7,-0.267529
1880,8,-0.421732
1880,9,-0.397785
1880,10,-0.229851
1880,11,-0.0869566
1880,12,0.143328
1881,1,0.183484
1881,2,0.24561
1881,3,0.308399
1881,4,0.478435
1881,5,0.312007
1881,6,0.254576
1881,7,-0.121969
1881,8,0.188822
1881,9,0.0438968
1881,10,-0.131289
1881,11,-0.0880327
1881,12,0.0188891
1882,1,0.0771439
1882,2,-0.0989856
1882,3,-0.0284723
1882,4,0.26845
1882,5,0.317187
1882,6,0.383211
1882,7,0.363452
1882,8,0.501278
1882,9,-0.0396377
1882,10,-0.107904
1882,11,-0.280288
1882,12,-0.0951184
1883,1,0.268661
1883,2,0.1961
1883,3,0.230995
1883,4,0.0404731
1883,5,-0.139799
1883,6,-0.138539
1883,7,0.0759258
1883,8,0.164013
1883,9,0.139375
1883,10,0.0833101
1883,11,0.118607
1883,12,0.284954
1884,1,0.391255
1884,2,0.488755
1884,3,0.176921
1884,4,0.148895
1884,5,0.541722
1884,6,-0.0216092
1884,7,0.462547
1884,8,0.201647
1884,9,0.107862
1884,10,0.01998
1884,11,-0.170394
1884,12,-0.151482
1885,1,-0.145417
1885,2,0.111171
1885,3,0.345302
1885,4,0.251225
1885,5,0.874727
1885,6,0.740673
1885,7,0.636298
1885,8,0.606853
1885,9,0.572453
1885,10,0.764827
1885,11,0.619709
1885,12,0.470178
1886,1,0.639447
1886,2,0.605779
1886,3,0.762436
1886,4,0.266041
1886,5,0.0810714
1886,6,0.147648
1886,7,-0.179016
1886,8,-0.388066
1886,9,-0.551902
1886,10,-0.277373
1886,11,-0.52051
1886,12,-0.648892
1887,1,-0.0952654
1887,2,-0.0450202
1887,3,-0.328522
1887,4,-0.506763
1887,5,-0.569733
1887,6,-0.152688
1887,7,-0.118206
1887,8,-0.148061
1887,9,-0.228549
1887,10,-0.0162923
1887,11,0.137217
1887,12,-0.104025
1888,1,-0.189428
1888,2,0.201592
1888,3,0.186182
1888,4,0.146957
1888,5,-0.0748499
1888,6,0.0710295
1888,7,0.294362
1888,8,0.443247
1888,9,-0.646818
1888,10,0.371249
1888,11,0.572863
1888,12,0.192575
1889,1,0.41466
1889,2,0.443464
1889,3,0.190784
1889,4,0.0264817
1889,5,0.145118
1889,6,-0.142835
1889,7,-0.129883
1889,8,-0.0761831
1889,9,-0.231867
1889,10,-0.515053
1889,11,-0.529512
1889,12,-0.699236
1890,1,-1.25133
1890,2,-1.02698
1890,3,-0.302934
1890,4,-0.11686
1890,5,-0.0848631
1890,6,-0.271679
1890,7,-0.29347
1890,8,-0.831402
1890,9,-0.75055
